,X,Y,DC,# of Radars,Longitude,Latitude
515,162,170,227.0,5.0,111.5,34.0
516,459,170,227.0,5.0,106.0,34.0
517,189,510,226.0,5.0,111.0,39.0
518,81,510,226.0,5.0,113.0,39.0
519,540,510,226.0,5.0,104.5,39.0
520,162,170,226.0,5.0,111.5,34.0
521,459,170,226.0,5.0,106.0,34.0
522,189,510,225.0,5.0,111.0,39.0
523,81,510,225.0,5.0,113.0,39.0
524,540,510,225.0,5.0,104.5,39.0
525,162,170,225.0,5.0,111.5,34.0
526,459,170,225.0,5.0,106.0,34.0
527,189,510,224.0,5.0,111.0,39.0
528,81,510,224.0,5.0,113.0,39.0
529,540,510,224.0,5.0,104.5,39.0
530,162,170,224.0,5.0,111.5,34.0
531,459,170,224.0,5.0,106.0,34.0
532,189,510,223.0,5.0,111.0,39.0
533,81,510,223.0,5.0,113.0,39.0
534,540,510,223.0,5.0,104.5,39.0
535,162,170,223.0,5.0,111.5,34.0
536,459,170,223.0,5.0,106.0,34.0
537,189,510,222.0,5.0,111.0,39.0
538,81,510,222.0,5.0,113.0,39.0
539,540,510,222.0,5.0,104.5,39.0
540,162,170,222.0,5.0,111.5,34.0
541,459,170,222.0,5.0,106.0,34.0
542,189,510,221.0,5.0,111.0,39.0
543,81,510,221.0,5.0,113.0,39.0
544,540,510,221.0,5.0,104.5,39.0
545,162,170,221.0,5.0,111.5,34.0
546,459,170,221.0,5.0,106.0,34.0
547,189,510,220.0,5.0,111.0,39.0
548,81,510,220.0,5.0,113.0,39.0
549,540,510,220.0,5.0,104.5,39.0
550,162,170,220.0,5.0,111.5,34.0
551,459,170,220.0,5.0,106.0,34.0
552,189,510,219.0,5.0,111.0,39.0
553,81,510,219.0,5.0,113.0,39.0
554,540,510,219.0,5.0,104.5,39.0
555,162,170,219.0,5.0,111.5,34.0
556,459,170,219.0,5.0,106.0,34.0
557,189,510,218.0,5.0,111.0,39.0
558,81,510,218.0,5.0,113.0,39.0
559,540,510,218.0,5.0,104.5,39.0
560,162,170,218.0,5.0,111.5,34.0
561,459,170,218.0,5.0,106.0,34.0
562,81,544,217.0,5.0,113.0,39.5
563,162,170,217.0,5.0,111.5,34.0
564,621,442,217.0,5.0,103.0,38.0
565,432,136,217.0,5.0,106.5,33.5
566,378,510,217.0,5.0,107.5,39.0
567,81,544,216.0,5.0,113.0,39.5
